,customer_id,coupon_id,category,age_range,marital_status,family_size,no_of_children,income_bracket,gender,mean_discount_used_by_cust,unique_items_bought_by_cust,mean_selling_price_paid_by_cust,mean_quantity_bought_by_cust,total_discount_used_by_cust,total_coupons_used_by_cust,total_price_paid_by_cust,total_quantity_bought_by_cust,mean_coupon_discount,mean_item_price
0,1467,3,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-2.54,134.2
1,1467,3,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-2.54,134.2
2,1467,939,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-1.07,89.19
3,1467,939,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-1.07,89.19
4,1467,939,Boys,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-1.07,89.19
5,1467,425,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-1.6539336917562724,145.68
6,1467,1073,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-2.32,151.3
7,1467,1073,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-2.32,151.3
8,1467,26,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.64,428.61
9,1467,345,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.1,184.97
10,1467,345,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.1,184.97
11,1467,379,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-1.6539336917562724,148.23
12,1467,379,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-1.6539336917562724,148.23
13,1467,418,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-2.81,113.93
14,1467,418,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-2.81,113.93
15,1467,418,Boys,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-2.81,113.93
16,1467,445,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.85,117.24
17,1467,445,Boys,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.85,117.24
18,1467,537,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.63,46.51
19,1467,537,Boys,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.63,46.51
20,1467,151,Women,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-1.6539336917562724,68.08
21,1467,151,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-1.6539336917562724,68.08
22,1467,323,Sport,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.05,111.58
23,1467,323,Boys,2,0,2,0,5,0,-2.77,361,108.22,1.01,-1309.07,53,51190.17,476,-0.05,111.58
