customer_id,coupon_id,category
1467,3,Women
1467,3,Sport
1467,939,Women
1467,939,Sport
1467,939,Boys
1467,425,Women
1467,1073,Sport
1467,1073,Women
1467,26,Women
1467,345,Sport
1467,345,Women
1467,379,Sport
1467,379,Women
1467,418,Sport
1467,418,Women
1467,418,Boys
1467,445,Sport
1467,445,Boys
1467,537,Sport
1467,537,Boys
1467,151,Women
1467,151,Sport
1467,323,Sport
1467,323,Boys
1467,323,Women
1467,800,Sport
1467,800,Women
1467,800,Boys
1467,920,Boys
1467,920,Women
1467,243,Women
1467,138,Women
1467,138,Sport
1467,868,Sport
1467,868,Women
1467,868,Boys
1467,873,Boys
1467,873,Sport
1467,873,Women
1467,18,Sport
1467,18,Women
1467,18,Boys
1467,538,Sport
1467,538,Boys
1467,1035,Women
1467,1035,Boys
1467,1035,Sport
1467,105,Boys
1467,105,Sport
1467,105,Women
1467,621,Women
1467,621,Boys
1467,336,Sport
1467,336,Women
1467,336,Boys
1467,787,Sport
1467,787,Boys
1467,787,Women
1467,619,Sport
1467,619,Women
1467,619,Boys
1467,485,Women
1467,485,Sport
1467,944,Women
1467,319,Women
1467,319,Boys
1467,319,Sport
1467,691,Boys
1467,691,Sport
1467,691,Women
1467,982,Sport
1467,982,Boys
1467,982,Women
1467,514,Boys
1467,514,Women
1467,514,Sport
1467,896,Women
1467,896,Sport
1467,896,Boys
1467,578,Sport
1467,578,Women
1467,578,Boys
1467,610,Women
1467,610,Boys
1467,610,Sport
1467,88,Sport
1467,972,Boys
1467,972,Women
1467,972,Sport
1467,1046,Sport
1467,1046,Women
1467,473,Women
1467,473,Sport
1467,473,Boys
1467,95,Sport
1467,990,Women
1467,954,Women
1467,954,Sport
1467,112,Women
1467,112,Boys
1467,112,Sport
1467,99,Women
1467,468,Sport
1467,468,Women
1467,468,Boys
1467,615,Women
1467,615,Boys
1467,615,Sport
1467,448,Sport
1467,448,Women
1467,448,Boys
1467,367,Women
1467,367,Sport
1467,673,Sport
1467,673,Women
