customer_id,cust_gender,cust_age,cust_mean_buy_price,cust_total_coupons,cust_mean_discount,cust_unique_products,cust_unique_products_coupon,cust_total_products
81,F,mid,14.02,2753.0,11.99,2338.0,1081.0,8048.0
128,F,young,12.14,2702.0,11.38,2509.0,1094.0,8382.0
179,M,old,12.52,2905.0,9.77,2660.0,1149.0,10219.0
205,F,mid,12.26,1657.0,10.63,2169.0,868.0,5360.0
273,M,young,11.79,2821.0,9.45,2452.0,1145.0,10151.0
373,F,young,13.45,1961.0,11.13,2323.0,922.0,6135.0
376,M,old,11.72,2893.0,9.22,2695.0,1139.0,10678.0
400,F,mid,12.55,2611.0,11.23,2365.0,1065.0,8309.0
536,M,mid,11.01,908.0,8.08,1681.0,581.0,3737.0
571,F,mid,12.32,2443.0,10.44,2343.0,1043.0,7928.0
572,F,old,12.17,1195.0,9.47,1687.0,702.0,3917.0
587,F,mid,13.89,2212.0,11.08,2187.0,994.0,6773.0
634,F,mid,13.09,1682.0,9.93,2248.0,865.0,5635.0
724,F,mid,14.29,2966.0,9.87,2463.0,1167.0,9826.0
769,F,mid,13.87,2449.0,10.87,2341.0,1026.0,7778.0
779,F,old,9.6,33.0,7.17,90.0,33.0,95.0
788,F,mid,13.16,2038.0,9.67,2263.0,943.0,6825.0
908,F,old,13.43,2003.0,9.91,2086.0,896.0,6692.0
917,F,mid,14.7,2476.0,11.44,2265.0,1023.0,7469.0
995,F,mid,14.28,2873.0,10.81,2363.0,1113.0,8961.0
