customer_id,coupon_id,cust_gender,cust_age,cust_mean_buy_price,cust_total_coupons,cust_mean_discount,cust_unique_products,cust_unique_products_coupon,cust_total_products,coupon_type,coupon_dpt,coupon_discount,coupon_how_many,coupon_mean_prod_price,coupon_prods_avail,probs
81,500.0,F,mid,14.02,2753.0,11.99,2338.0,1081.0,8048.0,buy_all,Boys,64,5,5.5,5,0.3852603901585216
81,534.0,F,mid,14.02,2753.0,11.99,2338.0,1081.0,8048.0,buy_all,Boys,55,4,5.54,4,0.5769654758875071
81,589.0,F,mid,14.02,2753.0,11.99,2338.0,1081.0,8048.0,buy_all,Boys,10,5,6.47,5,0.49227769528818704
128,500.0,F,young,12.14,2702.0,11.38,2509.0,1094.0,8382.0,buy_all,Boys,64,5,5.5,5,0.41795712344405317
128,534.0,F,young,12.14,2702.0,11.38,2509.0,1094.0,8382.0,buy_all,Boys,55,4,5.54,4,0.4495260677588316
128,589.0,F,young,12.14,2702.0,11.38,2509.0,1094.0,8382.0,buy_all,Boys,10,5,6.47,5,0.5037028733668206
179,500.0,M,old,12.52,2905.0,9.77,2660.0,1149.0,10219.0,buy_all,Boys,64,5,5.5,5,0.5257875994875896
179,534.0,M,old,12.52,2905.0,9.77,2660.0,1149.0,10219.0,buy_all,Boys,55,4,5.54,4,0.45735670458178185
179,589.0,M,old,12.52,2905.0,9.77,2660.0,1149.0,10219.0,buy_all,Boys,10,5,6.47,5,0.5147340642670643
205,500.0,F,mid,12.26,1657.0,10.63,2169.0,868.0,5360.0,buy_all,Boys,64,5,5.5,5,0.2867143728849893
205,534.0,F,mid,12.26,1657.0,10.63,2169.0,868.0,5360.0,buy_all,Boys,55,4,5.54,4,0.34658567507668603
205,589.0,F,mid,12.26,1657.0,10.63,2169.0,868.0,5360.0,buy_all,Boys,10,5,6.47,5,0.39184250263928494
273,500.0,M,young,11.79,2821.0,9.45,2452.0,1145.0,10151.0,buy_all,Boys,64,5,5.5,5,0.35759702766951285
273,534.0,M,young,11.79,2821.0,9.45,2452.0,1145.0,10151.0,buy_all,Boys,55,4,5.54,4,0.4136845366293443
273,589.0,M,young,11.79,2821.0,9.45,2452.0,1145.0,10151.0,buy_all,Boys,10,5,6.47,5,0.5226342365516546
373,500.0,F,young,13.45,1961.0,11.13,2323.0,922.0,6135.0,buy_all,Boys,64,5,5.5,5,0.333348797778058
373,534.0,F,young,13.45,1961.0,11.13,2323.0,922.0,6135.0,buy_all,Boys,55,4,5.54,4,0.37644633700250424
373,589.0,F,young,13.45,1961.0,11.13,2323.0,922.0,6135.0,buy_all,Boys,10,5,6.47,5,0.4191711995182019
376,500.0,M,old,11.72,2893.0,9.22,2695.0,1139.0,10678.0,buy_all,Boys,64,5,5.5,5,0.2827560012299738
376,534.0,M,old,11.72,2893.0,9.22,2695.0,1139.0,10678.0,buy_all,Boys,55,4,5.54,4,0.37014946463878867
376,589.0,M,old,11.72,2893.0,9.22,2695.0,1139.0,10678.0,buy_all,Boys,10,5,6.47,5,0.5192194375513562
400,500.0,F,mid,12.55,2611.0,11.23,2365.0,1065.0,8309.0,buy_all,Boys,64,5,5.5,5,0.40036340380227486
400,534.0,F,mid,12.55,2611.0,11.23,2365.0,1065.0,8309.0,buy_all,Boys,55,4,5.54,4,0.4540351284236518
400,589.0,F,mid,12.55,2611.0,11.23,2365.0,1065.0,8309.0,buy_all,Boys,10,5,6.47,5,0.5021683039197629
536,500.0,M,mid,11.01,908.0,8.08,1681.0,581.0,3737.0,buy_all,Boys,64,5,5.5,5,0.18963333907149815
536,534.0,M,mid,11.01,908.0,8.08,1681.0,581.0,3737.0,buy_all,Boys,55,4,5.54,4,0.23569452067866348
536,589.0,M,mid,11.01,908.0,8.08,1681.0,581.0,3737.0,buy_all,Boys,10,5,6.47,5,0.2923512068944365
571,500.0,F,mid,12.32,2443.0,10.44,2343.0,1043.0,7928.0,buy_all,Boys,64,5,5.5,5,0.33610274646635513
571,534.0,F,mid,12.32,2443.0,10.44,2343.0,1043.0,7928.0,buy_all,Boys,55,4,5.54,4,0.41379139053348996
571,589.0,F,mid,12.32,2443.0,10.44,2343.0,1043.0,7928.0,buy_all,Boys,10,5,6.47,5,0.4751933048058981
572,500.0,F,old,12.17,1195.0,9.47,1687.0,702.0,3917.0,buy_all,Boys,64,5,5.5,5,0.2633548801278312
572,534.0,F,old,12.17,1195.0,9.47,1687.0,702.0,3917.0,buy_all,Boys,55,4,5.54,4,0.3280688420216815
572,589.0,F,old,12.17,1195.0,9.47,1687.0,702.0,3917.0,buy_all,Boys,10,5,6.47,5,0.39395747901219474
587,500.0,F,mid,13.89,2212.0,11.08,2187.0,994.0,6773.0,buy_all,Boys,64,5,5.5,5,0.3710939609822935
587,534.0,F,mid,13.89,2212.0,11.08,2187.0,994.0,6773.0,buy_all,Boys,55,4,5.54,4,0.41105826385256117
587,589.0,F,mid,13.89,2212.0,11.08,2187.0,994.0,6773.0,buy_all,Boys,10,5,6.47,5,0.44844669431556666
634,500.0,F,mid,13.09,1682.0,9.93,2248.0,865.0,5635.0,buy_all,Boys,64,5,5.5,5,0.29949461797124916
634,534.0,F,mid,13.09,1682.0,9.93,2248.0,865.0,5635.0,buy_all,Boys,55,4,5.54,4,0.34908082269189983
634,589.0,F,mid,13.09,1682.0,9.93,2248.0,865.0,5635.0,buy_all,Boys,10,5,6.47,5,0.39446677007263936
724,500.0,F,mid,14.29,2966.0,9.87,2463.0,1167.0,9826.0,buy_all,Boys,64,5,5.5,5,0.5508550976212176
724,534.0,F,mid,14.29,2966.0,9.87,2463.0,1167.0,9826.0,buy_all,Boys,55,4,5.54,4,0.4999058319394291
724,589.0,F,mid,14.29,2966.0,9.87,2463.0,1167.0,9826.0,buy_all,Boys,10,5,6.47,5,0.4967916093268708
