customer_id,cust_gender,cust_age,cust_mean_buy_price,cust_total_coupons,cust_mean_discount,cust_unique_products,cust_unique_products_coupon,cust_total_products
25,F,mid,15.22,2009.0,12.17,2113.0,924.0,5841.0
81,F,mid,14.02,2753.0,11.99,2338.0,1081.0,8048.0
128,F,young,12.14,2702.0,11.38,2509.0,1094.0,8382.0
205,F,mid,12.26,1657.0,10.63,2169.0,868.0,5360.0
238,M,young,11.16,2667.0,10.56,2282.0,1060.0,8655.0
245,F,young,13.1,2779.0,10.93,2578.0,1080.0,8860.0
349,F,young,13.71,2607.0,11.24,2513.0,1058.0,8186.0
373,F,young,13.45,1961.0,11.13,2323.0,922.0,6135.0
432,M,old,11.33,2310.0,9.64,2551.0,997.0,8347.0
469,F,mid,13.32,3040.0,10.32,2455.0,1130.0,9836.0
578,F,old,13.85,1918.0,11.1,1960.0,924.0,5745.0
587,F,mid,13.89,2212.0,11.08,2187.0,994.0,6773.0
637,F,old,13.15,2845.0,11.01,2247.0,1111.0,8786.0
724,F,mid,14.29,2966.0,9.87,2463.0,1167.0,9826.0
772,F,mid,13.66,1961.0,10.73,2109.0,918.0,6075.0
838,F,young,13.07,1854.0,10.82,2235.0,897.0,5737.0
863,F,mid,13.95,2420.0,10.92,2343.0,1011.0,7746.0
917,F,mid,14.7,2476.0,11.44,2265.0,1023.0,7469.0
948,F,mid,14.56,2050.0,10.29,2239.0,970.0,6725.0
974,F,mid,13.92,2787.0,10.66,2418.0,1110.0,8851.0
