customer_id,coupon_id,cust_gender,cust_age,cust_mean_buy_price,cust_total_coupons,cust_mean_discount,cust_unique_products,cust_unique_products_coupon,cust_total_products,coupon_type,coupon_dpt,coupon_discount,coupon_how_many,coupon_mean_prod_price,coupon_prods_avail,probs
65,374.0,F,mid,12.02,3170.0,11.08,2589.0,1165.0,9844.0,buy_all,Boys,51,5,10.01,5,0.4482840860881741
65,427.0,F,mid,12.02,3170.0,11.08,2589.0,1165.0,9844.0,buy_all,Boys,61,4,11.22,4,0.4697311620886279
65,429.0,F,mid,12.02,3170.0,11.08,2589.0,1165.0,9844.0,buy_all,Boys,6,4,6.34,4,0.3940602554823235
81,374.0,F,mid,14.02,2753.0,11.99,2338.0,1081.0,8048.0,buy_all,Boys,51,5,10.01,5,0.4825610846175596
81,427.0,F,mid,14.02,2753.0,11.99,2338.0,1081.0,8048.0,buy_all,Boys,61,4,11.22,4,0.601452547777892
81,429.0,F,mid,14.02,2753.0,11.99,2338.0,1081.0,8048.0,buy_all,Boys,6,4,6.34,4,0.3958148964109064
94,374.0,F,old,16.53,456.0,9.64,968.0,322.0,1486.0,buy_all,Boys,51,5,10.01,5,0.20424033201805436
94,427.0,F,old,16.53,456.0,9.64,968.0,322.0,1486.0,buy_all,Boys,61,4,11.22,4,0.21560877321046654
94,429.0,F,old,16.53,456.0,9.64,968.0,322.0,1486.0,buy_all,Boys,6,4,6.34,4,0.20089904532367311
128,374.0,F,young,12.14,2702.0,11.38,2509.0,1094.0,8382.0,buy_all,Boys,51,5,10.01,5,0.4940429325037662
128,427.0,F,young,12.14,2702.0,11.38,2509.0,1094.0,8382.0,buy_all,Boys,61,4,11.22,4,0.46372626313410165
128,429.0,F,young,12.14,2702.0,11.38,2509.0,1094.0,8382.0,buy_all,Boys,6,4,6.34,4,0.3498698444256475
205,374.0,F,mid,12.26,1657.0,10.63,2169.0,868.0,5360.0,buy_all,Boys,51,5,10.01,5,0.3395268081277242
205,427.0,F,mid,12.26,1657.0,10.63,2169.0,868.0,5360.0,buy_all,Boys,61,4,11.22,4,0.3453783712349691
205,429.0,F,mid,12.26,1657.0,10.63,2169.0,868.0,5360.0,buy_all,Boys,6,4,6.34,4,0.2934026406413885
