,customer_id,coupon_id,category,age_range,marital_status,family_size,no_of_children,income_bracket,gender,mean_discount_used_by_cust,unique_items_bought_by_cust,mean_selling_price_paid_by_cust,mean_quantity_bought_by_cust,total_discount_used_by_cust,total_coupons_used_by_cust,total_price_paid_by_cust,total_quantity_bought_by_cust,mean_coupon_discount,mean_item_price
0,464,606,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.49,124.5
1,464,606,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.49,124.5
2,464,606,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.49,124.5
3,464,310,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.02,40.52
4,464,310,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.02,40.52
5,464,310,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.02,40.52
6,464,1045,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.18,258.59
7,464,1045,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.18,258.59
8,464,1045,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.18,258.59
9,464,745,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.69,140.44
10,464,745,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.69,140.44
11,464,669,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.46,92.49
12,464,669,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.46,92.49
13,464,669,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.46,92.49
14,464,758,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,127.43
15,464,758,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,127.43
16,464,758,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,127.43
17,464,724,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.04,58.26
18,464,724,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.04,58.26
19,464,724,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.04,58.26
20,464,901,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.88,95.03
21,464,901,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.88,95.03
22,464,901,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.88,95.03
23,464,1039,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,99.24
24,464,1039,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,99.24
25,464,403,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.36,187.44
26,464,403,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.36,187.44
27,464,403,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.36,187.44
28,464,670,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-2.91,81.03
29,464,670,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-2.91,81.03
30,464,670,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-2.91,81.03
31,464,614,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.09,54.57
32,464,614,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.09,54.57
33,464,614,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.09,54.57
34,464,695,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,103.13
35,464,695,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,103.13
36,464,695,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,103.13
37,464,279,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,113.2
38,464,279,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,113.2
39,464,279,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-1.65,113.2
40,464,1099,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.23,70.45
41,464,1099,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.23,70.45
42,464,1099,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.23,70.45
43,464,366,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.1,71.48
44,464,366,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.1,71.48
45,464,366,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.1,71.48
46,464,1043,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-7.37,283.96
47,464,1043,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-7.37,283.96
48,464,1043,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-7.37,283.96
49,464,394,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.89,222.32
50,464,394,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.89,222.32
51,464,1091,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-2.7,137.55
52,464,1091,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-2.7,137.55
53,464,1091,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-2.7,137.55
54,464,828,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-7.53,231.58
55,464,828,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-7.53,231.58
56,464,671,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.6,74.8
57,464,671,Men,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.6,74.8
58,464,671,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.6,74.8
59,464,671,Sport,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.6,74.8
60,464,671,Women,3,0,5,3,3,1,-1.47,2040,89.27,1.04,-6063.05,220,369053.18,4314,-0.6,74.8
